Split,Dialogue ID,Utterance ID,Frame Number,X Left,Y Top,X Right,Y Bottom
train,0,0,0,925,125,1033,233
train,0,0,1,925,125,1033,233
train,0,0,2,925,125,1033,233
train,0,0,3,921,125,1030,234
train,0,0,4,917,125,1027,235
train,0,0,5,914,124,1024,235
train,0,0,6,912,124,1023,235
train,0,0,7,908,123,1022,237
train,0,0,8,907,124,1020,237
train,0,0,9,905,123,1018,236
train,0,0,10,904,123,1016,235
train,0,0,11,902,123,1013,234
train,0,0,12,900,123,1011,235
train,0,0,13,898,123,1010,235
train,0,0,14,897,124,1008,235
train,0,0,15,896,123,1007,234
train,0,0,16,896,122,1007,234
train,0,0,17,894,119,1008,233
train,0,0,18,895,117,1010,232
train,0,0,19,896,115,1013,232
train,0,0,20,898,115,1014,230
train,0,0,21,901,115,1013,228
train,0,0,22,904,118,1015,229
train,0,0,23,905,123,1016,233
train,0,0,24,905,127,1016,237
train,0,0,25,906,128,1016,239
train,0,0,26,906,128,1016,239
train,0,0,27,907,126,1017,236
train,0,0,28,908,125,1017,234
train,0,0,29,910,123,1018,231
train,0,0,30,911,121,1021,231
train,0,0,31,913,121,1024,232
train,0,0,32,915,121,1027,233
train,0,0,33,919,121,1030,233
train,0,0,34,922,121,1034,233
train,0,0,35,925,119,1036,229
train,0,0,36,928,117,1038,227
train,0,0,37,929,116,1040,227
train,0,0,38,929,116,1042,229
train,0,0,39,929,115,1041,227
train,0,0,40,930,114,1041,225
train,0,0,41,930,112,1041,224
train,0,0,42,931,112,1043,224
train,0,0,43,934,114,1043,222
train,0,0,44,937,114,1044,221
train,0,0,45,938,115,1045,221
train,0,0,46,940,115,1046,221
train,0,0,47,941,115,1048,221
train,0,0,48,942,115,1048,222
train,0,0,49,941,116,1046,221
train,0,0,50,939,116,1044,221
train,0,0,51,936,117,1043,224
train,0,0,52,935,119,1041,226
train,0,0,53,933,121,1041,229
train,0,0,54,931,121,1041,231
train,0,0,55,931,121,1041,230
train,0,0,56,932,121,1040,229
train,0,0,57,932,122,1039,229
train,0,0,58,931,125,1038,231
train,0,0,59,930,126,1035,231
train,0,0,60,928,127,1033,232
train,0,0,61,926,127,1031,232
train,0,0,62,926,127,1032,232
train,0,0,63,927,127,1032,232
train,0,0,64,927,127,1032,232
train,0,0,65,927,127,1031,231
train,0,0,66,927,127,1032,232
train,0,0,67,927,126,1032,232
train,0,0,68,927,126,1032,232
train,0,0,69,927,126,1033,232
train,0,0,70,928,127,1034,232
train,0,0,71,928,127,1034,233
train,0,0,72,929,127,1035,233
train,0,0,73,929,126,1037,234
train,0,0,74,928,124,1040,235
train,0,0,75,927,121,1041,235
train,0,0,76,928,118,1043,233
train,0,0,77,930,118,1042,229
train,0,0,78,931,117,1042,229
train,0,0,79,931,118,1042,229
train,0,0,80,932,119,1042,229
train,0,0,81,932,119,1041,229
train,0,0,82,933,123,1040,229
train,0,0,83,934,125,1040,230
train,0,0,84,934,125,1040,231
train,0,0,85,933,123,1039,229
train,0,0,86,932,122,1042,232
train,0,0,87,931,122,1043,235
train,0,0,88,930,122,1044,236
train,0,0,89,930,122,1044,236
train,0,0,90,930,123,1044,237
train,0,0,91,931,123,1042,235
train,0,0,92,932,123,1040,231
train,0,0,93,932,123,1040,231
train,0,0,94,932,124,1040,232
train,0,0,95,932,125,1040,233
train,0,0,96,932,126,1040,234
train,0,0,97,932,126,1040,234
train,0,0,98,932,126,1040,234
train,0,0,99,932,126,1040,234
train,0,0,100,931,126,1042,236
train,0,0,101,931,126,1041,236
train,0,0,102,931,127,1041,236
train,0,0,103,931,127,1041,237
train,0,0,104,929,127,1041,238
train,0,0,105,928,126,1040,238
train,0,0,106,929,127,1039,237
train,0,0,107,929,128,1037,236
train,0,0,108,930,128,1036,235
train,0,0,109,930,129,1036,235
train,0,0,110,931,130,1036,236
train,0,0,111,930,130,1036,236
train,0,0,112,929,129,1036,236
train,0,0,113,929,130,1036,236
train,0,0,114,930,131,1035,236
train,0,0,115,930,131,1035,236
train,0,0,116,930,131,1035,236
train,0,0,117,930,131,1035,236
train,0,0,118,930,131,1035,236
train,0,0,119,930,131,1035,237
train,0,0,120,929,131,1035,238
train,0,0,121,929,134,1034,238
train,0,0,122,929,135,1033,240
train,0,0,123,929,135,1033,239
train,0,0,124,929,133,1034,238
train,0,0,125,929,133,1034,238
train,0,0,126,929,132,1034,238
train,0,0,127,929,133,1033,238
train,0,0,128,928,133,1033,238
train,0,0,129,928,133,1033,238
train,0,0,130,928,133,1033,238
train,0,0,131,927,132,1033,238
train,0,0,132,926,131,1033,237
train,0,0,133,925,130,1032,237
train,0,0,134,925,130,1031,236
train,0,0,135,924,129,1031,236
train,0,0,136,924,128,1031,235
train,0,1,0,320,84,576,340
train,0,1,1,320,84,576,340
train,0,1,2,320,84,576,340
train,0,1,3,322,83,575,336
train,0,1,4,322,83,576,337
train,0,1,5,321,81,577,337
train,0,1,6,321,79,579,338
train,0,1,7,323,78,581,335
train,0,1,8,324,77,581,334
train,0,1,9,326,75,582,332
train,0,1,10,325,75,583,333
train,0,1,11,325,74,584,333
train,0,1,12,325,75,584,334
train,0,1,13,325,75,583,333
train,0,1,14,325,76,582,333
train,0,1,15,325,77,582,333
train,0,1,16,322,77,581,336
train,0,1,17,320,78,580,338
